created_at,text
2018-12-19 23:54:36,b'RT @nickconfessore: The Times obtained internal Facebook documents showing in intricate detail how Facebook allocated user data to \xe2\x80\x9cpartner\xe2\x80\xa6'
2018-12-19 23:54:35,"b'RT @nytimes: NYT investigation: Internal Facebook records show that the company gave Microsoft, Amazon, Netflix and other tech giants far m\xe2\x80\xa6'"
2018-12-19 23:54:35,"b'RT @nytimes: NYT investigation: Internal Facebook records show that the company gave Microsoft, Amazon, Netflix and other tech giants far m\xe2\x80\xa6'"
2018-12-19 23:54:34,"b'RT @nytimes: NYT investigation: Internal Facebook records show that the company gave Microsoft, Amazon, Netflix and other tech giants far m\xe2\x80\xa6'"
2018-12-19 23:54:31,"b""RT @FastCompany: Experts from @Microsoft, @Google, @Ideo, @Pentagram, @gensler_design explain the design trends that'll shape 2019 https://\xe2\x80\xa6"""
2018-12-19 23:54:29,b'@JayMegaGames Me after finding out Sony following Microsoft footsteps\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/nXNOPIWKWd'
2018-12-19 23:54:28,b'[PowerApps] PowerApps Canvas App Coding Standards and Guidelines https://t.co/fWYNGlquhq'
2018-12-19 23:54:27,"b'Another sad fact @microsoft @Skype @billgates deleted #rwrvru, #skype message histories dating back decades to\xe2\x80\xa6 https://t.co/ZwjZWv2KMN'"
2018-12-19 23:54:26,b'Time to update https://t.co/yaBCtQqfTM'
2018-12-19 23:54:25,"b""@jonjob Apologies for the inconveniences, John. There's no info in this regard yet. Your feedback is important, and\xe2\x80\xa6 https://t.co/cB9VBArRvK"""
2018-12-19 23:54:24,b'Wanna see me spread my legs for you? My kik: dirtybabe4 #followme #nipples #webcamsex #skype #hookup #creampie #sex\xe2\x80\xa6 https://t.co/VSbDXOoYxP'
2018-12-19 23:54:23,"b'I want to bet that if Microsoft ships a Chromium-based browser, people would still just use it to download Chrome?'"
2018-12-19 23:54:17,b'PowerApps Canvas App Coding Standards and Guidelines https://t.co/1irUpwew3Y #app #PowerApps'
2018-12-19 23:54:10,b'RT @Microsoft: Forbes named us #1 on their JUST 100 list. Read how CEO Satya Nadella prioritizes the greater good and revives our company:\xe2\x80\xa6'
2018-12-19 23:54:02,b'RT @verge: Microsoft\xe2\x80\x99s Halo-themed prosthetic arm will make kids feel like Master Chief https://t.co/q6BTLWWOPN https://t.co/6CuLtUU2Xd'
2018-12-19 23:54:01,"b'\xe2\x80\x9cAs #Facebook Raised a #Privacy Wall, It Carved an Opening for Tech Giants. Internal documents show that the social\xe2\x80\xa6 https://t.co/zQzR492IHb'"
2018-12-19 23:54:00,b'RT @AdamGrossTX: @cdnk3v @gwblok @jarwidmark @miketerrill Found it. We set the SMSTSPostAction to:\n\ngpupdate /sync /boot\n\nThis forces the G\xe2\x80\xa6'
2018-12-19 23:53:59,"b'RT @Puri_sm: It\'s worse than you might think. @nytimes: ""Facebook allowed Microsoft\xe2\x80\x99s Bing search engine to see the names of virtually all\xe2\x80\xa6'"
2018-12-19 23:53:54,b'If there are any console Overwatch teams that need a coach I would gladly help out. Just DM the information that I\xe2\x80\xa6 https://t.co/MvjKdCb1gk'
2018-12-19 23:53:53,"b""RT @RatalaikaGames: We're looking for games made with #AdventureGameStudio for some R&amp;D console related!! Please DM us if you have one and\xe2\x80\xa6"""
2018-12-19 23:53:53,b'RT @briankrebs: Microsoft has just released an emergency (unscheduled) patch to fix a zero-day security hole in Internet Explorer https://t\xe2\x80\xa6'
2018-12-19 23:53:47,"b""RT @OskoolG: The Anaconda console will be more powerful and more expensive, providing a cutting-edge console gaming experience. We've also\xe2\x80\xa6"""
2018-12-19 23:53:45,b'RT @SharePoint: Have you had a chance to listen to episode 20 of The Intrazone \xe2\x80\x9cSharePoint from the Canadian Perspective\xe2\x80\x9d? Check it out: ht\xe2\x80\xa6'
2018-12-19 23:53:45,"b'RT @mG7VJxZNCI: Honestly, Zuck and his team should know better by now. \n2019 will be the year security and social media actually get along.\xe2\x80\xa6'"
2018-12-19 23:53:41,"b'Why is the default formatting for microsoft word Calibri, font size 11, single-spaced? \nWho the hell types like that?'"
2018-12-19 23:53:37,b'#RealmRoyale for the first time!! Come check out the stream.\n\nhttps://t.co/pQlHdudj0A\n\n#Afiliate #Gaming\xe2\x80\xa6 https://t.co/ZRof0fzFva'
2018-12-19 23:53:33,b'Who wants a new home for the Holidays just steps from Microsoft? https://t.co/jALNSImFln'
2018-12-19 23:53:30,b'@LiamCook__ @Scarlet4UrMa well that\xe2\x80\x99s just a bit silly isn\xe2\x80\x99t it considering all you do is use microsoft word &amp; powerpoint'
2018-12-19 23:53:26,b'RT @corywilliams59: Drive more engagement and get info to users that is important to them. New web parts rolling to #SharePoint. #Yammer #Y\xe2\x80\xa6'
